DateTime, Active Energy Import (kWh)
13/03/2023 16:00:00, 0.805
13/03/2023 16:30:00, 0.458
13/03/2023 17:00:00, 0.181
13/03/2023 17:30:00, 0.12
13/03/2023 18:00:00, 0.772
13/03/2023 18:30:00, 1.769
13/03/2023 19:00:00, 1.09
13/03/2023 19:30:00, 0.201
13/03/2023 20:00:00, 0.792
13/03/2023 20:30:00, 0.527
13/03/2023 21:00:00, 0.667
13/03/2023 21:30:00, 0.76
13/03/2023 22:00:00, 0.723
13/03/2023 22:30:00, 0.855
13/03/2023 23:00:00, 0.334
13/03/2023 23:30:00, 0.182
14/03/2023 00:00:00, 0.637
14/03/2023 00:30:00, 0.4
14/03/2023 01:00:00, 0.151
14/03/2023 01:30:00, 0.365
14/03/2023 02:00:00, 0.613
14/03/2023 02:30:00, 0.065
14/03/2023 03:00:00, 0.188
14/03/2023 03:30:00, 0.718
14/03/2023 04:00:00, 0.7
14/03/2023 04:30:00, 0.053
14/03/2023 05:00:00, 0.433
14/03/2023 05:30:00, 0.453
14/03/2023 06:00:00, 0.036
14/03/2023 06:30:00, 0.502
14/03/2023 07:00:00, 0.359
14/03/2023 07:30:00, 0.037
14/03/2023 08:00:00, 1.398
14/03/2023 08:30:00, 0.26
14/03/2023 09:00:00, 0.309
14/03/2023 09:30:00, 0.052
14/03/2023 10:00:00, 0.548
14/03/2023 10:30:00, 0.237
14/03/2023 11:00:00, 0.058
14/03/2023 11:30:00, 0.075
14/03/2023 12:00:00, 0.371
14/03/2023 12:30:00, 0.387
14/03/2023 13:00:00, 0.173
14/03/2023 13:30:00, 0.176
14/03/2023 14:00:00, 0.077
14/03/2023 14:30:00, 0.825
14/03/2023 15:00:00, 0.555
14/03/2023 15:30:00, 0.527
14/03/2023 16:00:00, 0.219
14/03/2023 16:30:00, 0.062
14/03/2023 17:00:00, 0.117
14/03/2023 17:30:00, 0.68
14/03/2023 18:00:00, 0.501
14/03/2023 18:30:00, 0.537
14/03/2023 19:00:00, 1.921
14/03/2023 19:30:00, 0.299
14/03/2023 20:00:00, 0.66
14/03/2023 20:30:00, 0.719
14/03/2023 21:00:00, 0.857
14/03/2023 21:30:00, 0.914
14/03/2023 22:00:00, 0.778
14/03/2023 22:30:00, 0.943
14/03/2023 23:00:00, 1.105
14/03/2023 23:30:00, 0.881
15/03/2023 00:00:00, 0.734
15/03/2023 00:30:00, 0.431
15/03/2023 01:00:00, 0.183
15/03/2023 01:30:00, 0.757
15/03/2023 02:00:00, 0.697
15/03/2023 02:30:00, 0.306
15/03/2023 03:00:00, 0.179
15/03/2023 03:30:00, 0.752
15/03/2023 04:00:00, 0.465
15/03/2023 04:30:00, 0.096
15/03/2023 05:00:00, 0.552
15/03/2023 05:30:00, 0.502
15/03/2023 06:00:00, 0.085
15/03/2023 06:30:00, 0.427
15/03/2023 07:00:00, 0.538
15/03/2023 07:30:00, 0.094
15/03/2023 08:00:00, 0.373
15/03/2023 08:30:00, 0.908
15/03/2023 09:00:00, 0.422
15/03/2023 09:30:00, 0.079
15/03/2023 10:00:00, 0.246
15/03/2023 10:30:00, 0.525
15/03/2023 11:00:00, 0.07
15/03/2023 11:30:00, 0.091
15/03/2023 12:00:00, 1.118
15/03/2023 12:30:00, 1.052
15/03/2023 13:00:00, 0.589
15/03/2023 13:30:00, 0.208
15/03/2023 14:00:00, 0.578
15/03/2023 14:30:00, 1.201
15/03/2023 15:00:00, 1.62
15/03/2023 15:30:00, 1.303
15/03/2023 16:00:00, 0.433
15/03/2023 16:30:00, 0.092
15/03/2023 17:00:00, 0.153
15/03/2023 17:30:00, 0.556
15/03/2023 18:00:00, 0.596
15/03/2023 18:30:00, 0.869
15/03/2023 19:00:00, 0.955
15/03/2023 19:30:00, 0.922
